name,price,rating,image
"Ai+ Pulse 2 (Green, 128 GB)","₹9,999",4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/z/r/-original-imahh27g6cgsf8z3.jpeg?q=70
"POCO X8 Pro (Black, 256 GB)","₹32,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/z/f/-original-imahhhkkyqrfqeeu.jpeg?q=70
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹12,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/6/4/g35-5g-pb3h0002in-motorola-original-imah7c6wzezymef7.jpeg?q=70
"OnePlus Nord 6 (Pitch Black, 256 GB)","₹39,492",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/h/i/nord-6-nord-6-one-plus-original-imahmbwghzqg7wvq.jpeg?q=70
"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)","₹9,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/c/g/-original-imahgctgvra6qqwq.jpeg?q=70
"Samsung M06 5G (Sage Green, 128 GB)","₹12,291",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/t/g/-original-imaha58mcdsfygaq.jpeg?q=70
"Google Pixel 9A (Obsidian, 256 GB)","₹39,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/b/u/-original-imahadxg2fazkzub.jpeg?q=70
"realme P4x 5G (Matte Silver, 256 GB)","₹20,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/z/7/-original-imahhmksfzcpkyky.jpeg?q=70
"POCO M7 Plus 5G (Carbon Black, 128 GB)","₹15,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/t/s/-original-imahf728ffwf54gs.jpeg?q=70
"Samsung M06 5G (Sage Green, 128 GB)","₹13,325",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/t/g/-original-imaha58mcdsfygaq.jpeg?q=70
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹13,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/a/6/-original-imahgjf9phdnsc5b.jpeg?q=70
"Ai+ Pulse 2 (Blue, 128 GB)","₹9,999",4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/n/d/-original-imahh27gr2xqbhcp.jpeg?q=70
"POCO C75 5G (Aqua Bliss, 64 GB)","₹10,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/2/g/-original-imahbr2cz5apcwze.jpeg?q=70
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹8,499",4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/v/b/-original-imagt4td4q9u7kxx.jpeg?q=70
"POCO M8 (Glacial Blue, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/g/v/-original-imahjnbffrp6znsu.jpeg?q=70
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/g/a/-original-imahkcvg56ymmhue.jpeg?q=70
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/d/j/-original-imahkcvg96ut6azs.jpeg?q=70
"POCO C71 (Desert Gold, 128 GB)","₹9,999",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/s/b/-original-imahkcwjvhzeehgy.jpeg?q=70
"MOTOROLA g05 (Forest Green, 64 GB)","₹7,299",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/a/b/-original-imah83eztbdcsknu.jpeg?q=70
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹11,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70
"POCO C71 (Cool Blue, 128 GB)","₹9,999",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/5/z/-original-imahawgarmg5f8ff.jpeg?q=70
"vivo T5x 5G (Cyber Green, 128 GB)","₹22,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/i/v/-original-imahhhfvqhmf7fgg.jpeg?q=70
"Tecno Pova 7 Pro 5G (Neon Cyan, 256 GB)","₹19,374",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/0/q/-original-imahf6egj9ncfskc.jpeg?q=70
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/a/e/-original-imahkcvgkwzd7u6p.jpeg?q=70
"POCO C85 5G (Spring Green, 128 GB)","₹14,499",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/h/n/-original-imahgkfunztkbmqg.jpeg?q=70
"POCO M8 (Frost Silver, 256 GB)","₹21,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/x/8/-original-imahjnbff2zb4huq.jpeg?q=70
"Ai+ Pulse 2 (Purple, 128 GB)","₹9,999",4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/g/a/-original-imahh27g4e28qac6.jpeg?q=70
"realme P4 5G (Forge Red, 128 GB)","₹20,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/y/g/-original-imahf47ehu3f5gxa.jpeg?q=70
"MOTOROLA Edge 70 Fusion (Pantone SILHOUETTE, 256 GB)","₹32,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/8/b/-original-imahha4yffqynu9x.jpeg?q=70
"vivo T4x 5G (Pronto Purple, 256 GB)","₹20,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/b/o/-original-imahm5cxremmusfz.jpeg?q=70
"POCO C75 5G (Aqua Bliss, 128 GB)","₹11,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/2/g/-original-imahbr2cz5apcwze.jpeg?q=70
"Samsung Galaxy F36 5G (Red, 128 GB)","₹16,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/4/3/-original-imahgynngheku3mz.jpeg?q=70
"vivo T4x 5G (Pronto Purple, 128 GB)","₹16,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/b/o/-original-imahm5cxremmusfz.jpeg?q=70
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹12,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70
"realme P4x 5G (Matte Silver, 128 GB)","₹18,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/z/7/-original-imahhmksfzcpkyky.jpeg?q=70
"Samsung Galaxy F36 5G (Black, 128 GB)","₹16,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/c/0/-original-imahgynnhrgyx5wz.jpeg?q=70
"POCO M6 Plus 5G (Ice Silver, 128 GB)","₹14,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/u/c/-original-imah3afneszgnrt6.jpeg?q=70
"Samsung M05 (Mint Green, 64 GB)","₹6,704",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/2/v/m05-sm-m055f-samsung-original-imah4z9v2qp2tpgw.jpeg?q=70
"vivo T4R 5G (Twilight Blue, 128 GB)","₹22,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/3/i/-original-imahfkvffkd4qhma.jpeg?q=70
"realme P4 5G (Steel Grey, 256 GB)","₹23,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/m/d/-original-imahf47f6fgxwh9a.jpeg?q=70
"POCO C85x (Sunset Gold, 128 GB)","₹12,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/n/v/-original-imahhdvgbme4frmy.jpeg?q=70
"POCO M8 (Glacial Blue, 128 GB)","₹19,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/g/v/-original-imahjnbffrp6znsu.jpeg?q=70
"Nothing Phone (3a) Lite (Black, 128 GB)","₹21,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/r/p/-original-imahggzpdcf6mw3j.jpeg?q=70
"POCO C71 (Power Black, 128 GB)","₹9,999",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/z/w/-original-imahawgahmkbjxyj.jpeg?q=70
"realme C71 (Sea Blue, 128 GB)","₹9,699",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/f/j/-original-imahdz2gdtkwhz9g.jpeg?q=70
"realme C71 (Sea Blue, 64 GB)","₹7,199",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/f/j/-original-imahdz2gdtkwhz9g.jpeg?q=70
"vivo T4x 5G (Marine Blue, 256 GB)","₹20,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/7/9/-original-imahm5cxxgg3qenj.jpeg?q=70
"realme P4 Lite (Sea Blue, 64 GB)","₹9,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/s/7/-original-imahkkjrz3qhsxps.jpeg?q=70
"Infinix SMART 10 (Iris Blue, 64 GB)","₹8,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/w/m/-original-imahed526jhtgj7k.jpeg?q=70
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹13,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/4/j/-original-imahgjf92nfmtgbe.jpeg?q=70
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)","₹22,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/a/g/-original-imahm5cxajhxvhsk.jpeg?q=70
"POCO M7 Plus 5G (Carbon Black, 128 GB)","₹16,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/t/s/-original-imahf728ffwf54gs.jpeg?q=70
"OnePlus Nord 6 (Fresh Mint, 256 GB)","₹39,392",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/k/x/nord-6-nord-6-one-plus-original-imahmbw2evsyjuh2.jpeg?q=70
"POCO F7 5G (Frost White, 256 GB)","₹35,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/w/l/-original-imahdpu7udvckghp.jpeg?q=70
"vivo T5x 5G (Cyber Green, 256 GB)","₹26,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/i/v/-original-imahhhfvqhmf7fgg.jpeg?q=70
